Files,Words,Vocabulary_size
400,385895,54430
401,386314,54448
402,389375,54673
403,390728,54755
404,391061,54777
405,391277,54779
406,391463,54781
407,391951,54816
408,392159,54822
409,392367,54845
410,392746,54866
411,393437,54902
412,393642,54906
413,394122,54951
414,394848,55021
415,395253,55038
416,395600,55061
417,396205,55128
418,396445,55152
419,396817,55168
420,399731,55785
421,400235,55829
422,400546,55885
423,400844,55898
424,401909,55991
425,402691,56043
426,403776,56151
427,404290,56183
428,404548,56216
429,404865,56228
430,405941,56335
431,406973,56435
432,407374,56449
433,407990,56487
434,408808,56539
435,409087,56554
436,411463,56745
437,411634,56749
438,411863,56765
439,412091,56780
440,412894,56819
441,418227,57301
442,418798,57404
443,420355,57525
444,420598,57534
445,420988,57581
446,421571,57642
447,421996,57682
448,422709,57767
449,422935,57782
450,423502,57798
451,424014,57858
452,424791,57941
453,425688,58064
454,428955,58309
455,431019,58434
456,431550,58477
457,431889,58495
458,432393,58533
459,432834,58551
460,433761,58627
461,433954,58634
462,434364,58675
463,435407,58740
464,437937,58972
465,438282,58991
466,438556,58999
467,438928,59055
468,439296,59069
469,439695,59098
470,440065,59199
471,440306,59208
472,440831,59254
473,441085,59277
474,441360,59296
475,441598,59306
476,441889,59320
477,442234,59344
478,442537,59422
479,442958,59439
480,443158,59444
481,443813,59473
482,444561,59516
483,445803,59613
484,445986,59615
485,447770,59735
486,448034,59764
487,448672,60165
488,449293,60205
489,449611,60227
490,450024,60250
491,450353,60259
492,450719,60281
493,451150,60327
494,451593,60339
495,451986,60356
496,452497,60378
497,452978,60423
498,453244,60434
499,453684,60476
500,453977,60485
501,454438,60528
502,455002,60566
503,455307,60572
504,455776,60595
505,456238,60632
506,456736,60779
507,459521,60916
508,460035,60951
509,461325,61026
510,462595,61097
511,462863,61102
512,463411,61155
513,463640,61164
514,464401,61248
515,465097,61302
516,465268,61308
517,465572,61319
518,465880,61332
519,466186,61364
520,466389,61368
521,467200,61427
522,467813,61453
523,468283,61500
524,468514,61548
525,468809,61562
526,468989,61567
527,469180,61569
528,469419,61580
529,470272,61651
530,471106,61799
531,471378,61820
532,471751,61830
533,471950,61835
534,472215,61859
535,472573,61897
536,472815,61912
537,473098,61914
538,473566,61959
539,474632,62130
540,474936,62163
