Files,Words,Vocabulary_size
399,275901,33529
400,276545,33564
401,276745,33574
402,276991,33579
403,277423,33611
404,278380,33646
405,278703,33659
406,279549,33707
407,280419,33755
408,280892,33795
409,281711,33857
410,282035,33886
411,282361,33904
412,283720,34037
413,284039,34051
414,284262,34057
415,285081,34267
416,285311,34270
417,285702,34360
418,285916,34372
419,286402,34399
420,286806,34422
421,287419,34490
422,288104,34532
423,288683,34560
424,289186,34600
425,290357,34676
426,290639,34687
427,292039,34757
428,293322,34881
429,294752,35012
430,295541,35077
431,295760,35085
432,297107,35154
433,297328,35160
434,297798,35196
435,298012,35207
436,298858,35545
437,299690,35610
438,300021,35662
439,300743,35699
440,301021,35718
441,301631,35766
442,301921,35799
443,302279,35836
444,306156,36104
445,306735,36143
446,307218,36207
447,307533,36228
448,307919,36257
449,308380,36293
450,308893,36352
451,309297,36408
452,309651,36427
453,309977,36451
454,310236,36462
455,313129,36761
456,313603,36886
457,313825,36894
458,314149,36923
459,314569,36966
460,315047,37013
461,315660,37084
462,317791,37261
463,319508,37582
464,320094,37643
465,320276,37648
466,320540,37674
467,320902,37691
468,321246,37729
469,322070,37826
470,322389,37853
471,322782,37869
472,323293,37905
473,323811,37929
474,324391,37973
475,325036,38019
476,325397,38057
477,325812,38105
478,326026,38114
479,326365,38189
480,326635,38201
481,327316,38255
482,328040,38331
483,328769,38366
484,329827,38479
485,330335,38513
486,330744,38540
487,330967,38552
488,331830,38612
489,332169,38657
490,332400,38671
491,333288,38757
492,333602,38766
493,334629,39190
494,335365,39266
495,335626,39283
496,335947,39305
497,336361,39341
498,336580,39353
499,337042,39402
500,337354,39415
501,337567,39419
502,337789,39448
503,338345,39493
504,338618,39505
505,338928,39508
506,339426,39542
507,339888,39554
508,340082,39560
509,340937,39617
510,341517,39629
511,341924,39647
512,342628,39661
513,343346,39701
514,343772,39721
515,344160,39755
516,344509,39760
517,344694,39762
518,345028,39784
519,345633,39817
520,345911,39823
521,347274,39922
522,348616,40050
523,349469,40092
524,349723,40109
525,350119,40122
526,350412,40137
527,352931,40328
528,355266,40592
529,355668,40613
530,356999,40708
531,357391,40730
532,357707,40740
533,359007,40837
534,359398,40860
535,360323,40906
536,360838,40945
537,361947,41009
538,362292,41031
539,363581,41256
540,363920,41275
541,364195,41283
542,367670,41460
543,368236,41520
544,375223,41888
545,375864,41922
546,376280,41952
547,376995,42026
548,378070,42081
549,378332,42091
550,379431,42178
551,380179,42249
552,380633,42272
553,384426,42483
554,386415,42543
555,386689,42550
556,387003,42560
557,387803,42620
558,388256,42662
559,388501,42666
560,388913,42689
561,389360,42703
562,389549,42707
563,390794,42799
564,391192,42812
565,391712,42854
566,392039,42884
567,393138,42964
568,393461,42972
569,394705,43032
570,396583,43178
571,397290,43230
572,397813,43257
573,398041,43261
574,398234,43263
575,398842,43292
576,399193,43304
577,399595,43319
578,400080,43344
579,400354,43350
580,400882,43403
581,401082,43409
582,401371,43414
583,409758,44098
584,410396,44129
585,410639,44144
586,411039,44168
587,411363,44188
588,411729,44203
589,412296,44250
590,413131,44344
591,413449,44398
592,413926,44426
593,414177,44445
594,414380,44449
595,414726,44475
596,415201,44499
597,415536,44509
598,415783,44512
599,420108,44857
600,420933,44899
601,421609,44936
602,422940,45034
603,423299,45061
604,424154,45121
605,425349,45214
606,425877,45236
607,427188,45318
608,428247,45393
609,430193,45583
610,430568,45607
611,431447,45640
612,432085,45688
613,432938,45733
614,433342,45758
615,433542,45764
616,435395,45898
617,440383,46146
618,440793,46182
619,441190,46204
620,441894,46262
621,442451,46289
622,442878,46317
623,443338,46339
624,443583,46374
625,443870,46377
626,445482,46466
627,445796,46470
628,446090,46487
629,447073,46548
630,448229,46619
631,448566,46641
632,450874,46772
633,451063,46776
634,451255,46784
635,451550,46791
