460,442.84210009625707
2051,1225.5802223559433
2298,1324.2535634768949
2631,1452.0864735027542
2982,1581.3514557146214
3415,1734.3077636935946
4010,1934.7573858946705
4500,2092.7702511182715
4887,2213.7098011562271
8037,3106.3183390976196
8954,3343.4846065823053
9595,3504.6729961091833
9968,3596.8844657261147
10591,3748.4850068883979
11118,3874.5144979214188
11793,4033.1890375655303
12174,4121.4698774039871
12395,4172.2731142444527
12725,4247.5987701842469
13183,4351.117565873994
13439,4408.4790404539517
13801,4489.0005511763084
14277,4593.8619316969089
15094,4771.2840229414578
20005,5780.1822715262833
20414,5860.3962380774583
20891,5953.3017985315255
21828,6133.8569272472942
22396,6242.102900059851
22847,6327.4289616499354
23278,6408.4703780577811
23568,6462.7300605012433
23827,6511.0097506320735
25471,6813.6628765424257
25687,6852.9574376027022
27228,7130.3073380175965
27564,7190.1086086025043
27784,7229.1382253472902
28137,7291.5576894747701
28380,7334.381183318792
29512,7532.3527705138004
29926,7604.1479260015367
30184,7648.7295541611093
30633,7726.0267171335254
31060,7799.2018369462021
31500,7874.2698143796561
32208,7994.3629319859483
32637,8066.7213045944854
33359,8187.8182764418661
33972,8289.9782367673724
34993,8458.8386658327545
35566,8552.9162545344279
36257,8665.7269703098373
37237,8824.5503473292047
37630,8887.8661050785286
39445,9177.5903425543147
39785,9231.3863535884757
41052,9430.5786813583272
41316,9471.8352598712081
41571,9511.6055869481661
41916,9565.2888588272217
42186,9607.2035770538623
42583,9668.6786636775323
42892,9716.40056079036
43166,9758.6253880231416
43422,9797.9991188492077
43825,9859.8322930253798
44140,9908.0371992941091
44395,9946.9798790335626
44651,9986.003560021647
45230,10074.001939133768
46213,10222.583439359714
46507,10266.82534757965
46818,10313.528460046391
47075,10352.047702975111
47565,10425.303728138699
47960,10484.181919631694
48419,10552.405901532633
50118,10803.165786927568
50832,10907.734881541439
52339,11126.918522153026
52587,11162.794455541831
53005,11223.140868792343
56550,11728.986533071902
56886,11776.398301637144
57431,11853.111819962947
57833,11909.548063361981
58051,11940.100440684791
58225,11964.460022972115
58455,11996.623864384097
59424,12131.690880280838
60020,12214.417091180467
60229,12243.36464349211
60592,12293.565932581265
61690,12444.834052375838
61952,12480.801663768018
62654,12576.934596251391
62972,12620.368802191046
63300,12665.095617726098
63565,12701.177633380221
64091,12772.655216671659
64387,12812.796030381014
64609,12842.863014720782
66152,13050.940015210737
66333,13075.246254204307
66613,13112.805427556999
66926,13154.731649938449
67466,13226.917699449159
67946,13290.928468125718
68845,13410.42865685763
69486,13495.330117022288
70104,13576.948924027629
70486,13627.284580186495
71319,13736.747230232357
71551,13767.161072660196
73556,14028.708733597789
74368,14133.983340517676
77102,14485.781018943258
77662,14557.344620070444
78550,14670.487550250886
80370,14901.113187392026
80671,14939.093792056909
80870,14964.17906819971
81178,15002.965731774852
81839,15086.04784316515
82700,15193.947973640121
82898,15218.710464808479
83120,15246.452043379135
83885,15341.867546515583
84260,15388.538398475443
84679,15440.606986698171
85029,15484.038055578751
85250,15511.432297062469
86910,15716.48039440144
87577,15798.517610022802
88015,15852.280706249227
88933,15964.686222421567
89866,16078.549787095579
90138,16111.673625056495
92285,16372.024116052771
92640,16414.885207557494
93069,16466.610869798078
93579,16528.004061858443
93930,16570.195018226077
95623,16772.995685983908
96315,16855.558420489782
96627,16892.721303345344
96970,16933.532504680476
97307,16973.584979148894
98256,17086.136710470913
98603,17127.204342614979
98791,17149.434981390496
99110,17187.125266072086
99466,17229.14148657944
99818,17270.638470675807
100372,17335.854643187198
100590,17361.48582100499
104111,17773.045607547261
104996,17875.788350073541
106717,18074.798023883406
106971,18104.082573729997
108490,18278.752943511285
108800,18314.303838356951
109695,18416.761891510883
110132,18466.691944664341
111055,18571.943413950787
111461,18618.15193564436
111999,18679.301285568825
112737,18763.030530590138
113003,18793.166458433167
113649,18866.259666912425
114255,18934.706579263835
114710,18986.022132163173
115348,19057.86746876486
115555,19081.150529672956
115863,19115.769312686301
118289,19387.43064033124
118608,19423.01913954812
118868,19452.002857774776
119093,19477.06860077097
119278,19497.66689552907
120900,19677.829816103887
121157,19706.305004697464
121810,19778.56982908498
122172,19818.577621712207
123086,19919.42389384476
123468,19961.501057201294
123995,20019.481816090934
124589,20084.739783523499
124940,20123.254649443999
125168,20148.254359207178
126363,20279.046794161837
127149,20364.859173518198
127408,20393.098670165447
128059,20463.998293058801
128315,20491.847427193348
128597,20522.504479896848
129469,20617.16679758727
131026,20785.687013451265
131315,20816.896153352696
132286,20921.594471394837
133487,21050.754085890658
133936,21098.945761288331
135720,21289.917748872056
136121,21332.733126067902
136983,21424.634217768227
137496,21479.239512374792
137869,21518.901973102318
138199,21553.96355304162
138749,21612.340228784964
139055,21644.786921389379
139297,21670.431249210797
145113,22282.541987558976
145616,22335.109364143413
145964,22371.44414531437
147183,22498.502985602019
147599,22541.786591440072
148315,22616.193319179773
148565,22642.146313688263
148936,22680.634893642422
149272,22715.466088638063
149469,22735.876317729759
149775,22767.562506877708
149980,22788.778630292643
150234,22815.053096457596
150555,22848.237966037774
151460,22941.675274315363
152163,23014.134089541847
153856,23188.196326086243
155950,23402.643671909431
156428,23451.466740319465
156804,23489.838059113124
157078,23517.781649512661
157412,23551.823252468854
157756,23586.859985293304
157950,23606.608323403321
158515,23664.078781663702
159042,23717.625091665534
159425,23756.504638737129
160197,23834.782377837237
160562,23871.750015592304
163771,24195.616676610549
164250,24243.785111701312
164627,24281.664875013292
166268,24446.226147195204
166733,24492.762494497118
168212,24640.503673002295
172351,25051.774661899311
